Source,Target,Type
1,2,Undirected
1,3,Undirected
1,4,Undirected
1,5,Undirected
1,6,Undirected
1,7,Undirected
1,8,Undirected
1,9,Undirected
2,10,Undirected
4,11,Undirected
4,12,Undirected
13,6,Undirected
6,14,Undirected
8,15,Undirected
8,16,Undirected
8,17,Undirected
16,18,Undirected
17,19,Undirected
17,20,Undirected
17,21,Undirected
17,22,Undirected
20,23,Undirected
20,24,Undirected
21,25,Undirected
21,26,Undirected
25,27,Undirected
26,28,Undirected
26,29,Undirected
28,29,Undirected
29,30,Undirected
22,31,Undirected
22,14,Undirected
31,32,Undirected
11,33,Undirected
11,34,Undirected
11,35,Undirected
11,36,Undirected
35,37,Undirected
12,38,Undirected
12,39,Undirected
39,40,Undirected